Specimen_Number,Preservation,Order,Family,Genus,Species,Sex,thorax_length,thorax_width,thorax_depth,left_forewing_length,left_forewing_width,left_hindwing_length,left_hindwing_width,right_forewing_length,right_forewing_width,right_hindwing_length,right_hindwing_width
989404,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,m,11,7.7,10.1,46.4,10.3,44.4,13.2,45.8,10.8,44.4,13
989403,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,m,17.1,13.1,14.8,45.3,11.4,44.7,13.9,46,11.2,44.3,13.9
989410,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,f,10.9,7.7,8.9,43.1,10.2,43,13.8,43.1,10.4,43.1,13.7
989405,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,m,11.5,7.3,9.4,42.5,9.7,42.6,13.2,42.5,9.6,42.6,12.9
989414,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,f,10.6,7.3,8.1,42.3,10.1,42.3,13.5,42.5,9.9,41.9,13.8
989412,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,f,10.4,7.6,9.2,42.1,9.6,41.4,13,41.6,9.3,41.7,13
989408,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,m,11.1,7.6,8.6,41.9,10.2,41.1,13,41.9,10,41.4,13
989409,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,f,11.3,7.2,8.3,41.7,10.4,41.6,13.1,41.3,10.4,41.5,13.4
989413,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,f,10.6,7.2,8.4,41.5,10.4,41.1,13,41.2,10.2,41.2,12.9
989411,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,f,11,7.3,9.5,41.4,10.1,40.6,13.1,41.4,9.9,40.9,13.1
989416,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,f,10,7,8.6,41.3,9.9,41.1,12.9,41.2,9.8,41,12.7
989407,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,m,10.6,7.4,9,40.5,9.8,40.1,13,40.7,9.9,40,13.1
989415,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna mixta,f,9.3,6.9,8.9,39.7,9.6,39.2,12.3,39.2,9.8,39.2,12.6
989474,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,f,13.6,8.2,12.3,53.3,12,52.6,14.6,53.6,11.9,52.6,14.8
989479,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,f,13.4,9,12.1,52.9,11.5,51.8,15.6,52.3,11.5,51.4,15.8
989465,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,m,13.4,9.3,11.5,52.5,12,51.1,15.3,52.7,12,51.4,15.2
989473,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,f,13.3,9.3,10.4,52.4,11.9,50.9,15.2,42.7,12,50.5,14.5
989472,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,m,12.3,8.7,10.3,52.3,12.4,51.1,14.9,52,12.3,51.2,14.8
989477,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,f,13.9,8.8,10.6,51.7,12.1,50.6,15.3,52.1,11.8,50.4,15.9
989468,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,m,13,8.8,11.1,51.7,11.9,50.5,14.8,52,12.1,50.3,14.6
989467,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,m,13.3,9,11.6,51.6,12.1,51.1,15.8,51.8,12.1,51.1,15.8
989469,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,m,12,9,9.6,51.6,12,49.2,16.4,52.1,11.6,49.4,15.9
989478,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,f,12.7,8.8,11.7,51.6,11.5,50.4,15.1,51.9,11.6,50.2,14.8
989470,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,m,12.2,8.6,9.1,51.2,11.9,50.1,15,51.4,12,50.2,15.5
989475,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,f,13.2,9.2,11.1,50.8,11.5,48.9,14.8,50.5,11.6,48.9,14.8
989480,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,f,13.2,9.6,10.6,50.3,11.7,49.8,14.9,49.9,11.5,49.8,15
989471,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,m,13,8.6,10.1,49.9,11.7,49.6,14.1,50.5,11.5,49.7,14.3
989466,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,m,13,8.4,11.6,49.9,11.5,48,15.1,49.8,12,48.1,15.1
989476,Dry - mounted,Odonata,Aeshnidae,Anax,Anax imperator,f,13,8.3,12.1,49.3,11.4,48.7,14.3,49.5,11.3,48.8,14.5
988191,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,f,9.4,7.4,8,39.1,9.3,38.4,11.1,39.1,9.9,38.4,10.9
988185,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,f,10.6,7,8.5,38.3,9.2,37.8,10.4,38.7,9.2,37.8,10.5
988187,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,f,10.3,7,8.6,38.1,8.8,37.6,10.2,37.7,8.9,37.4,10
988177,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,m,10,6.9,8.5,37.9,9.4,37.5,10.7,37.5,9.3,37,11.2
988192,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,f,10,7.2,9.3,37.8,9,37,11.5,37.7,8.7,36.8,10.9
988178,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,m,10.4,7.5,8.4,37.5,9,36.2,10.2,37.6,9,35.3,10
988181,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,m,10.6,7.4,8.6,37.3,8.5,36.4,10.5,37.4,8.6,36,10.1
988183,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,m,10.6,7.3,8.2,36.9,8.5,36.7,9.7,36.7,8.6,36.5,9.9
988186,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,f,9.8,7.3,8.1,36.6,8.7,36.1,10.2,37.5,8.7,36.2,10.5
988179,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,m,9.8,7,8.2,36.4,8.5,36,9.8,36.6,8.5,35.7,10
988188,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,f,10.3,6.9,8.9,36.3,8.8,36.1,9.7,36,8.6,35.6,9.9
988190,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,f,10,7.3,8.3,36.2,9.2,35.2,10.1,36.2,8.8,35.8,10.4
988180,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,m,10,7.3,9,36.1,8.8,35.8,10,36.1,8.9,36.11,9.9
988189,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,f,10.4,7.2,8.1,36.1,8.5,35.9,10.3,36.7,8.5,36.2,10.3
988182,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,m,11.2,8.2,9.7,35.9,8.8,35.8,10.5,36.3,8.6,35.4,10.5
988184,Dry - mounted,Odonata,Aeshnidae,Brachytron,Brachytron pratense,m,10.6,7,8.5,34.6,8.4,34.8,9.8,34.8,8.8,34.5,10.1
988155,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,f,6.8,3.9,5,34,9.7,32.8,9.2,33.7,9.6,32.7,9.2
988158,Dry - mounted,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,f,7.1,4.1,4.8,33.7,9.6,32.7,9.4,33.6,10,32.5,9.2
